"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"120","gBOIN-ET",60,5,"Highest Efficacy",10,"Pats",NA,3.2517,3.5841,4.3656,7.4025,15.3813,2.0106
"121","gBOIN-ET",60,10,"Utility",1,"Rec",0.23,1.82,3.42,4.43,6.52,15.57,68.01
"122","gBOIN-ET",60,10,"Utility",1,"Pats",NA,3.5904,4.1418,4.7769,5.5983,8.2443,9.633
"123","gBOIN-ET",60,10,"Utility",2,"Rec",0.31,1.83,3.23,2.84,35.47,52.24,4.08
"124","gBOIN-ET",60,10,"Utility",2,"Pats",NA,3.6816,4.4334,5.6403,13.4832,8.2221,0.5151
"125","gBOIN-ET",60,10,"Utility",3,"Rec",4.45,4.36,8,10.06,63.17,9.39,0.57
"126","gBOIN-ET",60,10,"Utility",3,"Pats",NA,4.8846,7.197,10.1763,12.0405,1.1967,0.0918
"127","gBOIN-ET",60,10,"Utility",4,"Rec",1.26,4.77,5.11,77.05,10.58,1.17,0.06
"128","gBOIN-ET",60,10,"Utility",4,"Pats",NA,6.1788,11.4867,16.2204,1.8102,0.1548,0.009
"129","gBOIN-ET",60,10,"Utility",5,"Rec",1.32,10.11,15.65,64.19,8.1,0.6,0.03
"130","gBOIN-ET",60,10,"Utility",5,"Pats",NA,6.8691,14.0418,13.5789,1.2762,0.081,0.0036
"131","gBOIN-ET",60,10,"Utility",6,"Rec",0.67,9.02,79.04,10.3,0.9,0.07,0
"132","gBOIN-ET",60,10,"Utility",6,"Pats",NA,15.4782,18.57,1.6224,0.1116,0.0084,0
"133","gBOIN-ET",60,10,"Utility",7,"Rec",4.69,85.38,8.84,1.04,0.05,0,0
"134","gBOIN-ET",60,10,"Utility",7,"Pats",NA,32.7711,1.8819,0.1767,0.0108,3e-04,0
"135","gBOIN-ET",60,10,"Utility",8,"Rec",0,19.99,71.28,7.23,1.32,0.15,0.03
"136","gBOIN-ET",60,10,"Utility",8,"Pats",NA,12.2523,20.3286,2.574,0.6528,0.1635,0.0288
"137","gBOIN-ET",60,10,"Utility",9,"Rec",1.08,2.52,1.21,1.07,76.32,15.94,1.86
"138","gBOIN-ET",60,10,"Utility",9,"Pats",NA,3.7557,4.3203,4.6002,21.0705,1.9872,0.1929
"139","gBOIN-ET",60,10,"Utility",10,"Rec",0.04,0.79,1.12,1.65,6.63,74.19,15.58
"140","gBOIN-ET",60,10,"Utility",10,"Pats",NA,3.2517,3.5658,4.3449,7.3584,15.5577,1.9197
"141","gBOIN-ET",60,10,"Highest Efficacy",1,"Rec",0.23,0.59,1.66,3.27,9.77,27.77,56.71
"142","gBOIN-ET",60,10,"Highest Efficacy",1,"Pats",NA,3.5904,4.1418,4.7769,5.5983,8.2443,9.633
"143","gBOIN-ET",60,10,"Highest Efficacy",2,"Rec",0.31,0.49,1.76,4.23,50.09,41.79,1.33
"144","gBOIN-ET",60,10,"Highest Efficacy",2,"Pats",NA,3.6816,4.4334,5.6403,13.4832,8.2221,0.5151
"145","gBOIN-ET",60,10,"Highest Efficacy",3,"Rec",4.45,2.98,9.4,30.82,50.69,1.65,0.01
"146","gBOIN-ET",60,10,"Highest Efficacy",3,"Pats",NA,4.8846,7.197,10.1763,12.0405,1.1967,0.0918
"147","gBOIN-ET",60,10,"Highest Efficacy",4,"Rec",1.26,5.96,23.22,64.39,4.77,0.39,0.01
"148","gBOIN-ET",60,10,"Highest Efficacy",4,"Pats",NA,6.1788,11.4867,16.2204,1.8102,0.1548,0.009
"149","gBOIN-ET",60,10,"Highest Efficacy",5,"Rec",1.32,5.41,37.02,53.93,2.31,0.01,0
"150","gBOIN-ET",60,10,"Highest Efficacy",5,"Pats",NA,6.8691,14.0418,13.5789,1.2762,0.081,0.0036
"151","gBOIN-ET",60,10,"Highest Efficacy",6,"Rec",0.67,35.58,61.2,2.46,0.09,0,0
"152","gBOIN-ET",60,10,"Highest Efficacy",6,"Pats",NA,15.4782,18.57,1.6224,0.1116,0.0084,0
"153","gBOIN-ET",60,10,"Highest Efficacy",7,"Rec",4.69,92.9,2.36,0.05,0,0,0
"154","gBOIN-ET",60,10,"Highest Efficacy",7,"Pats",NA,32.7711,1.8819,0.1767,0.0108,3e-04,0
"155","gBOIN-ET",60,10,"Highest Efficacy",8,"Rec",0,17.67,70.73,9.17,2.22,0.2,0.01
"156","gBOIN-ET",60,10,"Highest Efficacy",8,"Pats",NA,12.2523,20.3286,2.574,0.6528,0.1635,0.0288
"157","gBOIN-ET",60,10,"Highest Efficacy",9,"Rec",1.08,0.79,1.33,3.3,92.37,1.11,0.02
"158","gBOIN-ET",60,10,"Highest Efficacy",9,"Pats",NA,3.7557,4.3203,4.6002,21.0705,1.9872,0.1929
"159","gBOIN-ET",60,10,"Highest Efficacy",10,"Rec",0.04,0.35,0.46,1.62,10.47,75.83,11.23
"160","gBOIN-ET",60,10,"Highest Efficacy",10,"Pats",NA,3.2517,3.5658,4.3449,7.3584,15.5577,1.9197
"161","gBOIN-ET",90,5,"Utility",1,"Rec",0.31,2.05,3.01,4.14,6.82,15.6,68.07
"162","gBOIN-ET",90,5,"Utility",1,"Pats",NA,3.6261,4.1652,4.7625,5.5437,8.2545,9.6342
"163","gBOIN-ET",90,5,"Utility",2,"Rec",0.39,1.78,2.95,2.98,35.52,52.36,4.02
"164","gBOIN-ET",90,5,"Utility",2,"Pats",NA,3.6747,4.3755,5.5824,13.623,8.2083,0.4971
"165","gBOIN-ET",90,5,"Utility",3,"Rec",4.79,4.5,7.86,10.51,62.87,8.9,0.57
"166","gBOIN-ET",90,5,"Utility",3,"Pats",NA,4.9662,7.2102,10.0902,11.9667,1.1979,0.1008
"167","gBOIN-ET",90,5,"Utility",4,"Rec",1.13,5.38,5.07,76.4,10.84,1.05,0.13
"168","gBOIN-ET",90,5,"Utility",4,"Pats",NA,6.2133,11.4879,16.2033,1.8063,0.1371,0.0153
"169","gBOIN-ET",90,5,"Utility",5,"Rec",1.25,10.2,16.37,63.51,8.11,0.56,0
"170","gBOIN-ET",90,5,"Utility",5,"Pats",NA,6.7623,14.1849,13.5927,1.2333,0.0699,0.0063
"171","gBOIN-ET",90,5,"Utility",6,"Rec",0.59,9.13,79.14,10.1,0.98,0.05,0.01
"172","gBOIN-ET",90,5,"Utility",6,"Pats",NA,15.5436,18.4809,1.6671,0.1197,0.0063,3e-04
"173","gBOIN-ET",90,5,"Utility",7,"Rec",4.54,84.96,8.93,1.42,0.15,0,0
"174","gBOIN-ET",90,5,"Utility",7,"Pats",NA,32.6571,1.9584,0.1953,0.0207,0.0015,0
"175","gBOIN-ET",90,5,"Utility",8,"Rec",0,20.4,71.54,6.77,1.08,0.21,0
"176","gBOIN-ET",90,5,"Utility",8,"Pats",NA,12.2694,20.3814,2.5188,0.6342,0.165,0.0312
"177","gBOIN-ET",90,5,"Utility",9,"Rec",1.27,2.23,1.27,0.93,76.76,15.7,1.84
"178","gBOIN-ET",90,5,"Utility",9,"Pats",NA,3.7911,4.3329,4.5858,21.0408,1.9659,0.1893
"179","gBOIN-ET",90,5,"Utility",10,"Rec",0.06,0.59,1.09,1.47,6.42,74.29,16.08
"180","gBOIN-ET",90,5,"Utility",10,"Pats",NA,3.258,3.5412,4.3167,7.3071,15.5679,2.0061
"181","gBOIN-ET",90,5,"Highest Efficacy",1,"Rec",0.31,0.73,1.56,3.43,10.05,28.18,55.74
"182","gBOIN-ET",90,5,"Highest Efficacy",1,"Pats",NA,3.6261,4.1652,4.7625,5.5437,8.2545,9.6342
"183","gBOIN-ET",90,5,"Highest Efficacy",2,"Rec",0.39,0.62,1.49,4.27,50.56,41.48,1.19
"184","gBOIN-ET",90,5,"Highest Efficacy",2,"Pats",NA,3.6747,4.3755,5.5824,13.623,8.2083,0.4971
"185","gBOIN-ET",90,5,"Highest Efficacy",3,"Rec",4.79,2.79,9.52,31.29,49.98,1.62,0.01
"186","gBOIN-ET",90,5,"Highest Efficacy",3,"Pats",NA,4.9662,7.2102,10.0902,11.9667,1.1979,0.1008
"187","gBOIN-ET",90,5,"Highest Efficacy",4,"Rec",1.13,6.04,23.6,64.15,4.78,0.26,0.04
"188","gBOIN-ET",90,5,"Highest Efficacy",4,"Pats",NA,6.2133,11.4879,16.2033,1.8063,0.1371,0.0153
"189","gBOIN-ET",90,5,"Highest Efficacy",5,"Rec",1.25,5.58,36.41,54.47,2.29,0,0
"190","gBOIN-ET",90,5,"Highest Efficacy",5,"Pats",NA,6.7623,14.1849,13.5927,1.2333,0.0699,0.0063
"191","gBOIN-ET",90,5,"Highest Efficacy",6,"Rec",0.59,35.74,61.06,2.51,0.1,0,0
"192","gBOIN-ET",90,5,"Highest Efficacy",6,"Pats",NA,15.5436,18.4809,1.6671,0.1197,0.0063,3e-04
"193","gBOIN-ET",90,5,"Highest Efficacy",7,"Rec",4.54,93.07,2.28,0.11,0,0,0
"194","gBOIN-ET",90,5,"Highest Efficacy",7,"Pats",NA,32.6571,1.9584,0.1953,0.0207,0.0015,0
"195","gBOIN-ET",90,5,"Highest Efficacy",8,"Rec",0,17.75,70.87,8.95,2.11,0.32,0
"196","gBOIN-ET",90,5,"Highest Efficacy",8,"Pats",NA,12.2694,20.3814,2.5188,0.6342,0.165,0.0312
"197","gBOIN-ET",90,5,"Highest Efficacy",9,"Rec",1.27,0.92,1.32,3.25,92.19,0.99,0.06
"198","gBOIN-ET",90,5,"Highest Efficacy",9,"Pats",NA,3.7911,4.3329,4.5858,21.0408,1.9659,0.1893
"199","gBOIN-ET",90,5,"Highest Efficacy",10,"Rec",0.06,0.23,0.53,1.45,9.97,75.82,11.94
"200","gBOIN-ET",90,5,"Highest Efficacy",10,"Pats",NA,3.258,3.5412,4.3167,7.3071,15.5679,2.0061
"201","gBOIN-ET",90,10,"Utility",1,"Rec",0.3,1.66,3.28,4.07,6.97,16.64,67.08
"202","gBOIN-ET",90,10,"Utility",1,"Pats",NA,3.5985,4.1733,4.7784,5.5455,8.3715,9.5154
"203","gBOIN-ET",90,10,"Utility",2,"Rec",0.27,2.01,3.45,2.83,35.22,52.16,4.06
"204","gBOIN-ET",90,10,"Utility",2,"Pats",NA,3.7089,4.4136,5.6676,13.4844,8.1927,0.5052
"205","gBOIN-ET",90,10,"Utility",3,"Rec",4.41,4.77,8.31,9.77,62.95,9.17,0.62
"206","gBOIN-ET",90,10,"Utility",3,"Pats",NA,4.9488,7.2867,10.1943,11.8752,1.1862,0.0846
"207","gBOIN-ET",90,10,"Utility",4,"Rec",1.18,5.33,4.68,76.73,10.86,1.14,0.08
"208","gBOIN-ET",90,10,"Utility",4,"Pats",NA,6.2499,11.4747,16.2225,1.7583,0.1419,0.0078
"209","gBOIN-ET",90,10,"Utility",5,"Rec",1.19,10.05,16.17,63.82,8.09,0.66,0.02
"210","gBOIN-ET",90,10,"Utility",5,"Pats",NA,6.8343,14.1027,13.6098,1.218,0.0843,0.0045
"211","gBOIN-ET",90,10,"Utility",6,"Rec",0.64,8.33,80.17,9.74,1.04,0.08,0
"212","gBOIN-ET",90,10,"Utility",6,"Pats",NA,15.4386,18.6279,1.6056,0.1161,0.0066,0
"213","gBOIN-ET",90,10,"Utility",7,"Rec",4.44,85.82,8.56,1.08,0.09,0.01,0
"214","gBOIN-ET",90,10,"Utility",7,"Pats",NA,32.7663,1.9356,0.1776,0.0129,0.0018,0
"215","gBOIN-ET",90,10,"Utility",8,"Rec",0,19.32,71.68,7.25,1.39,0.25,0.11
"216","gBOIN-ET",90,10,"Utility",8,"Pats",NA,11.9934,20.4633,2.6313,0.7086,0.1698,0.0336
"217","gBOIN-ET",90,10,"Utility",9,"Rec",1.07,2.3,1.26,1.06,77.51,15.23,1.57
"218","gBOIN-ET",90,10,"Utility",9,"Pats",NA,3.7146,4.2246,4.6572,21.1632,2.0085,0.1644
"219","gBOIN-ET",90,10,"Utility",10,"Rec",0.05,0.94,0.81,1.9,6.27,74.4,15.63
"220","gBOIN-ET",90,10,"Utility",10,"Pats",NA,3.2595,3.5967,4.3704,7.3281,15.4959,1.9476
"221","gBOIN-ET",90,10,"Highest Efficacy",1,"Rec",0.3,0.68,1.64,3.04,9.9,28.37,56.07
"222","gBOIN-ET",90,10,"Highest Efficacy",1,"Pats",NA,3.5985,4.1733,4.7784,5.5455,8.3715,9.5154
"223","gBOIN-ET",90,10,"Highest Efficacy",2,"Rec",0.27,0.55,1.64,4,50.8,41.65,1.09
"224","gBOIN-ET",90,10,"Highest Efficacy",2,"Pats",NA,3.7089,4.4136,5.6676,13.4844,8.1927,0.5052
"225","gBOIN-ET",90,10,"Highest Efficacy",3,"Rec",4.41,3.05,10.19,31.52,49.39,1.42,0.02
"226","gBOIN-ET",90,10,"Highest Efficacy",3,"Pats",NA,4.9488,7.2867,10.1943,11.8752,1.1862,0.0846
"227","gBOIN-ET",90,10,"Highest Efficacy",4,"Rec",1.18,6.51,23.31,63.64,4.98,0.37,0.01
"228","gBOIN-ET",90,10,"Highest Efficacy",4,"Pats",NA,6.2499,11.4747,16.2225,1.7583,0.1419,0.0078
"229","gBOIN-ET",90,10,"Highest Efficacy",5,"Rec",1.19,5.46,37.18,54.04,2.09,0.04,0
"230","gBOIN-ET",90,10,"Highest Efficacy",5,"Pats",NA,6.8343,14.1027,13.6098,1.218,0.0843,0.0045
