"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"128","TITE-gBOIN-ET",60,10,"Utility",4,"Pats",NA,6.012,10.4559,14.8692,3.6678,0.7542,0.1221
"129","TITE-gBOIN-ET",60,10,"Utility",5,"Rec",1.05,8.85,15.63,60.73,12.28,1.43,0.03
"130","TITE-gBOIN-ET",60,10,"Utility",5,"Pats",NA,6.8418,12.276,13.983,2.4408,0.3081,0.0207
"131","TITE-gBOIN-ET",60,10,"Utility",6,"Rec",0.67,8.4,70.96,16.27,3.23,0.45,0.02
"132","TITE-gBOIN-ET",60,10,"Utility",6,"Pats",NA,13.3479,18.2067,3.5169,0.6423,0.0807,0.0087
"133","TITE-gBOIN-ET",60,10,"Utility",7,"Rec",3.64,80.42,13.44,2.23,0.25,0.02,0
"134","TITE-gBOIN-ET",60,10,"Utility",7,"Pats",NA,31.0524,3.5496,0.498,0.0465,0.0039,0
"135","TITE-gBOIN-ET",60,10,"Utility",8,"Rec",0.01,15.34,75.63,7.51,1.27,0.2,0.04
"136","TITE-gBOIN-ET",60,10,"Utility",8,"Pats",NA,7.2864,20.9793,4.6113,2.1249,0.7878,0.207
"137","TITE-gBOIN-ET",60,10,"Utility",9,"Rec",1.28,2.57,2.49,2.87,63.78,22.57,4.44
"138","TITE-gBOIN-ET",60,10,"Utility",9,"Pats",NA,4.1793,4.9371,4.9503,17.2533,3.927,0.6792
"139","TITE-gBOIN-ET",60,10,"Utility",10,"Rec",0.04,0.73,1.1,2.44,7.14,54.44,34.11
"140","TITE-gBOIN-ET",60,10,"Utility",10,"Pats",NA,3.3099,3.675,4.4451,6.3621,13.4169,4.7886
"141","TITE-gBOIN-ET",60,10,"Highest Efficacy",1,"Rec",0.35,0.51,1.52,3.07,9.65,25.98,58.92
"142","TITE-gBOIN-ET",60,10,"Highest Efficacy",1,"Pats",NA,3.7614,4.4241,5.1189,5.8566,7.5147,9.306
"143","TITE-gBOIN-ET",60,10,"Highest Efficacy",2,"Rec",0.33,0.72,1.73,3.91,41.01,48.95,3.35
"144","TITE-gBOIN-ET",60,10,"Highest Efficacy",2,"Pats",NA,3.8004,4.5714,5.6331,10.5777,9.9582,1.4325
"145","TITE-gBOIN-ET",60,10,"Highest Efficacy",3,"Rec",3.53,2.92,10.17,30.82,49.98,2.54,0.04
"146","TITE-gBOIN-ET",60,10,"Highest Efficacy",3,"Pats",NA,4.9509,7.3452,9.8265,11.5008,1.8348,0.216
"147","TITE-gBOIN-ET",60,10,"Highest Efficacy",4,"Rec",1.04,5.99,20.87,61.4,8.97,1.58,0.15
"148","TITE-gBOIN-ET",60,10,"Highest Efficacy",4,"Pats",NA,6.012,10.4559,14.8692,3.6678,0.7542,0.1221
"149","TITE-gBOIN-ET",60,10,"Highest Efficacy",5,"Rec",1.05,5.24,32.65,56.69,4.22,0.15,0
"150","TITE-gBOIN-ET",60,10,"Highest Efficacy",5,"Pats",NA,6.8418,12.276,13.983,2.4408,0.3081,0.0207
"151","TITE-gBOIN-ET",60,10,"Highest Efficacy",6,"Rec",0.67,31.96,61.37,5.63,0.33,0.04,0
"152","TITE-gBOIN-ET",60,10,"Highest Efficacy",6,"Pats",NA,13.3479,18.2067,3.5169,0.6423,0.0807,0.0087
"153","TITE-gBOIN-ET",60,10,"Highest Efficacy",7,"Rec",3.64,91.35,4.8,0.2,0.01,0,0
"154","TITE-gBOIN-ET",60,10,"Highest Efficacy",7,"Pats",NA,31.0524,3.5496,0.498,0.0465,0.0039,0
"155","TITE-gBOIN-ET",60,10,"Highest Efficacy",8,"Rec",0.01,10.2,75.92,10.46,3.1,0.28,0.03
"156","TITE-gBOIN-ET",60,10,"Highest Efficacy",8,"Pats",NA,7.2864,20.9793,4.6113,2.1249,0.7878,0.207
"157","TITE-gBOIN-ET",60,10,"Highest Efficacy",9,"Rec",1.28,1.4,2.5,4.48,87.35,2.66,0.33
"158","TITE-gBOIN-ET",60,10,"Highest Efficacy",9,"Pats",NA,4.1793,4.9371,4.9503,17.2533,3.927,0.6792
"159","TITE-gBOIN-ET",60,10,"Highest Efficacy",10,"Rec",0.04,0.34,0.54,2.06,9.38,59.63,28.01
"160","TITE-gBOIN-ET",60,10,"Highest Efficacy",10,"Pats",NA,3.3099,3.675,4.4451,6.3621,13.4169,4.7886
"161","TITE-gBOIN-ET",90,5,"Utility",1,"Rec",0.27,1.68,2.82,4.13,7.33,17.09,66.68
"162","TITE-gBOIN-ET",90,5,"Utility",1,"Pats",NA,3.9162,4.677,5.376,6.003,7.4472,8.565
"163","TITE-gBOIN-ET",90,5,"Utility",2,"Rec",0.3,1.42,2.76,3.36,28.01,54.25,9.9
"164","TITE-gBOIN-ET",90,5,"Utility",2,"Pats",NA,3.9519,4.836,5.8737,9.9423,9.5844,1.7799
"165","TITE-gBOIN-ET",90,5,"Utility",3,"Rec",3.33,4.3,8.24,11.43,58.85,12.58,1.27
"166","TITE-gBOIN-ET",90,5,"Utility",3,"Pats",NA,5.0226,7.4118,9.687,11.1597,2.115,0.2775
"167","TITE-gBOIN-ET",90,5,"Utility",4,"Rec",1.13,4.7,5.37,64.25,19.23,4.44,0.88
"168","TITE-gBOIN-ET",90,5,"Utility",4,"Pats",NA,6.135,10.329,14.0208,4.1628,1.0404,0.168
"169","TITE-gBOIN-ET",90,5,"Utility",5,"Rec",1.05,8.94,15.56,59,13.54,1.85,0.06
"170","TITE-gBOIN-ET",90,5,"Utility",5,"Pats",NA,7.2381,12.1701,13.2189,2.8209,0.3957,0.0297
"171","TITE-gBOIN-ET",90,5,"Utility",6,"Rec",0.7,8.13,67.92,18.79,3.85,0.55,0.06
"172","TITE-gBOIN-ET",90,5,"Utility",6,"Pats",NA,13.2075,17.3745,4.2033,0.8505,0.1341,0.0138
"173","TITE-gBOIN-ET",90,5,"Utility",7,"Rec",3.62,77.95,14.92,3.06,0.39,0.06,0
"174","TITE-gBOIN-ET",90,5,"Utility",7,"Pats",NA,29.811,4.4664,0.7173,0.0891,0.0108,0
"175","TITE-gBOIN-ET",90,5,"Utility",8,"Rec",0.01,13.41,76.08,8.2,1.85,0.38,0.07
"176","TITE-gBOIN-ET",90,5,"Utility",8,"Pats",NA,6.3516,20.0877,5.1579,2.8581,1.2207,0.3207
"177","TITE-gBOIN-ET",90,5,"Utility",9,"Rec",1.11,2.54,2.13,2.8,61.38,24.62,5.42
"178","TITE-gBOIN-ET",90,5,"Utility",9,"Pats",NA,4.512,5.3889,5.3046,15.4707,4.494,0.7686
"179","TITE-gBOIN-ET",90,5,"Utility",10,"Rec",0.06,0.71,1.19,2.17,6.78,47.59,41.5
"180","TITE-gBOIN-ET",90,5,"Utility",10,"Pats",NA,3.357,3.7578,4.4856,6.0684,12.3597,5.9688
"181","TITE-gBOIN-ET",90,5,"Highest Efficacy",1,"Rec",0.27,0.51,1.39,3.15,9.87,26.07,58.74
"182","TITE-gBOIN-ET",90,5,"Highest Efficacy",1,"Pats",NA,3.9162,4.677,5.376,6.003,7.4472,8.565
"183","TITE-gBOIN-ET",90,5,"Highest Efficacy",2,"Rec",0.3,0.48,1.55,4.72,40.1,48.96,3.89
"184","TITE-gBOIN-ET",90,5,"Highest Efficacy",2,"Pats",NA,3.9519,4.836,5.8737,9.9423,9.5844,1.7799
"185","TITE-gBOIN-ET",90,5,"Highest Efficacy",3,"Rec",3.33,2.72,9.81,30.18,50.94,2.96,0.06
"186","TITE-gBOIN-ET",90,5,"Highest Efficacy",3,"Pats",NA,5.0226,7.4118,9.687,11.1597,2.115,0.2775
"187","TITE-gBOIN-ET",90,5,"Highest Efficacy",4,"Rec",1.13,5.7,20.16,59.59,11.45,1.75,0.22
"188","TITE-gBOIN-ET",90,5,"Highest Efficacy",4,"Pats",NA,6.135,10.329,14.0208,4.1628,1.0404,0.168
"189","TITE-gBOIN-ET",90,5,"Highest Efficacy",5,"Rec",1.05,4.9,32.89,56.16,4.91,0.09,0
"190","TITE-gBOIN-ET",90,5,"Highest Efficacy",5,"Pats",NA,7.2381,12.1701,13.2189,2.8209,0.3957,0.0297
"191","TITE-gBOIN-ET",90,5,"Highest Efficacy",6,"Rec",0.7,30.99,61.1,6.58,0.59,0.04,0
"192","TITE-gBOIN-ET",90,5,"Highest Efficacy",6,"Pats",NA,13.2075,17.3745,4.2033,0.8505,0.1341,0.0138
"193","TITE-gBOIN-ET",90,5,"Highest Efficacy",7,"Rec",3.62,90.01,6.14,0.23,0,0,0
"194","TITE-gBOIN-ET",90,5,"Highest Efficacy",7,"Pats",NA,29.811,4.4664,0.7173,0.0891,0.0108,0
"195","TITE-gBOIN-ET",90,5,"Highest Efficacy",8,"Rec",0.01,7.86,75.87,11.92,3.73,0.59,0.02
"196","TITE-gBOIN-ET",90,5,"Highest Efficacy",8,"Pats",NA,6.3516,20.0877,5.1579,2.8581,1.2207,0.3207
"197","TITE-gBOIN-ET",90,5,"Highest Efficacy",9,"Rec",1.11,1.12,2.44,4.42,86.85,3.48,0.58
"198","TITE-gBOIN-ET",90,5,"Highest Efficacy",9,"Pats",NA,4.512,5.3889,5.3046,15.4707,4.494,0.7686
"199","TITE-gBOIN-ET",90,5,"Highest Efficacy",10,"Rec",0.06,0.31,0.54,2.16,8.84,53.23,34.86
"200","TITE-gBOIN-ET",90,5,"Highest Efficacy",10,"Pats",NA,3.357,3.7578,4.4856,6.0684,12.3597,5.9688
"201","TITE-gBOIN-ET",90,10,"Utility",1,"Rec",0.28,1.66,2.82,3.48,7.2,16.54,68.02
"202","TITE-gBOIN-ET",90,10,"Utility",1,"Pats",NA,3.8262,4.5516,5.2155,5.9241,7.4517,9.018
"203","TITE-gBOIN-ET",90,10,"Utility",2,"Rec",0.28,1.62,2.54,3.33,28.01,54.12,10.1
"204","TITE-gBOIN-ET",90,10,"Utility",2,"Pats",NA,3.8646,4.7073,5.7954,10.3023,9.6219,1.6863
"205","TITE-gBOIN-ET",90,10,"Utility",3,"Rec",3.08,4.4,8.39,11.45,59.79,11.65,1.24
"206","TITE-gBOIN-ET",90,10,"Utility",3,"Pats",NA,4.9827,7.3191,9.7389,11.4669,1.9665,0.2466
"207","TITE-gBOIN-ET",90,10,"Utility",4,"Rec",1.19,5.17,5.25,65.68,18.13,3.91,0.67
"208","TITE-gBOIN-ET",90,10,"Utility",4,"Pats",NA,6.1086,10.2837,14.4861,3.9405,0.8892,0.1452
"209","TITE-gBOIN-ET",90,10,"Utility",5,"Rec",1.01,9.32,15.9,59.19,12.81,1.75,0.02
"210","TITE-gBOIN-ET",90,10,"Utility",5,"Pats",NA,6.9432,12.3381,13.6071,2.6331,0.3435,0.0282
"211","TITE-gBOIN-ET",90,10,"Utility",6,"Rec",0.67,8.16,68.98,18.11,3.46,0.59,0.03
"212","TITE-gBOIN-ET",90,10,"Utility",6,"Pats",NA,13.3833,17.6469,3.8991,0.7365,0.12,0.0111
"213","TITE-gBOIN-ET",90,10,"Utility",7,"Rec",4.31,79.18,13.5,2.72,0.28,0.01,0
"214","TITE-gBOIN-ET",90,10,"Utility",7,"Pats",NA,30.4047,3.8445,0.5886,0.0657,0.0039,3e-04
"215","TITE-gBOIN-ET",90,10,"Utility",8,"Rec",0.01,14.89,75.16,7.77,1.74,0.37,0.06
